sep=,
type,sourceName,sourceVersion,productType,device,startDate,endDate,activityType,duration,durationUnit,totalEnergyBurned,totalDistance,totalSwimmingStrokeCount,totalFlightsClimbed,HKTimeZone,HKIndoorWorkout,HKWasUserEntered
HKWorkoutTypeIdentifier,Nike Run Club,2008080031,"iPhone8,4",,2020-09-16 00:00:46 +0000,2020-09-16 00:24:44 +0000,Running,1419.6219999790192,sec,187.009 kcal,3231.67 m,,,,0,
HKWorkoutTypeIdentifier,Nike Run Club,2009152234,"iPhone8,4",,2020-09-18 23:24:55 +0000,2020-09-18 23:51:59 +0000,Running,1622.3129999637604,sec,175.636 kcal,3222.55 m,,,,0,
HKWorkoutTypeIdentifier,Nike Run Club,2009152234,"iPhone8,4",,2020-09-22 23:31:21 +0000,2020-09-22 23:55:26 +0000,Running,1443.625,sec,183.935 kcal,3219.2 m,,,,0,
HKWorkoutTypeIdentifier,Nike Run Club,2009152234,"iPhone8,4",,2020-09-24 21:41:58 +0000,2020-09-24 22:33:02 +0000,Running,3016.301999807358,sec,151.968 kcal,3218.71 m,,,,0,
HKWorkoutTypeIdentifier,Nike Run Club,2009152234,"iPhone8,4",,2020-09-29 23:36:57 +0000,2020-09-30 00:19:54 +0000,Running,1805.0719997882843,sec,178.387 kcal,3231.48 m,,,,0,
HKWorkoutTypeIdentifier,Nike Run Club,2009152234,"iPhone8,4",,2020-10-01 23:28:55 +0000,2020-10-02 00:12:54 +0000,Running,2485.2720000743866,sec,162.908 kcal,3219.25 m,,,,0,
HKWorkoutTypeIdentifier,Nike Run Club,2009152234,"iPhone8,4",,2020-10-07 00:11:29 +0000,2020-10-07 00:45:45 +0000,Running,2053.5549998283386,sec,177.092 kcal,3221.43 m,,,,0,
HKWorkoutTypeIdentifier,Nike Run Club,2009152234,"iPhone8,4",,2020-10-15 23:58:49 +0000,2020-10-16 00:39:26 +0000,Running,2435.026000022888,sec,157.096 kcal,3221.45 m,,,,0,
HKWorkoutTypeIdentifier,Nike Run Club,2010130032,"iPhone8,4",,2020-10-20 22:37:25 +0000,2020-10-20 23:03:56 +0000,Running,1538.1649997234344,sec,185.014 kcal,3235.67 m,,,,0,
HKWorkoutTypeIdentifier,Nike Run Club,2010130032,"iPhone8,4",,2020-10-23 00:30:00 +0000,2020-10-23 01:15:34 +0000,Running,2261.380000114441,sec,171.082 kcal,3220.7 m,,,,0,
